"","Team","Opponent","Team_Outcome","Team_Score","Opp_Score","Winner","Week","Difference"
"1","Houston","Kansas City","Loss",20,34,"Home","Wk 1",-14
"2","Seattle","Atlanta","Win",38,25,"Away","Wk 1",13
"3","New York Jets","Buffalo","Loss",17,27,"Home","Wk 1",-10
"4","Chicago","Detroit","Win",27,23,"Away","Wk 1",4
"5","Green Bay","Minnesota","Win",43,34,"Away","Wk 1",9
"6","Miami","New England","Loss",11,21,"Home","Wk 1",-10
"7","Philadelphia","Washington","Loss",17,27,"Home","Wk 1",-10
"8","Las Vegas","Carolina","Win",34,30,"Away","Wk 1",4
"9","Indianapolis","Jacksonville","Loss",20,27,"Home","Wk 1",-7
"10","Cleveland","Baltimore","Loss",6,38,"Home","Wk 1",-32
"11","Los Angeles Chargers","Cincinnati","Win",16,13,"Away","Wk 1",3
"12","Tampa Bay","New Orleans","Loss",23,34,"Home","Wk 1",-11
"13","Arizona","San Francisco","Win",24,20,"Away","Wk 1",4
"14","Dallas","Los Angeles Rams","Loss",17,20,"Home","Wk 1",-3
"15","Pittsburgh","New York Giants","Win",26,16,"Away","Wk 1",10
"16","Tennessee","Denver","Win",16,14,"Away","Wk 1",2
"17","Cincinnati","Cleveland","Loss",30,35,"Home","Wk 2",-5
"18","New York Giants","Chicago","Loss",13,17,"Home","Wk 2",-4
"19","Atlanta","Dallas","Loss",39,40,"Home","Wk 2",-1
"20","Detroit","Green Bay","Loss",21,42,"Home","Wk 2",-21
"21","Jacksonville","Tennessee","Loss",30,33,"Home","Wk 2",-3
"22","Minnesota","Indianapolis","Loss",11,28,"Home","Wk 2",-17
"23","Buffalo","Miami","Win",31,28,"Away","Wk 2",3
"24","San Francisco","New York Jets","Win",31,13,"Away","Wk 2",18
"25","Los Angeles Rams","Philadelphia","Win",37,19,"Away","Wk 2",18
"26","Denver","Pittsburgh","Loss",21,26,"Home","Wk 2",-5
"27","Carolina","Tampa Bay","Loss",17,31,"Home","Wk 2",-14
"28","Washington","Arizona","Loss",15,30,"Home","Wk 2",-15
"29","Kansas City","Los Angeles Chargers","Win",23,20,"Away","Wk 2",3
"30","Baltimore","Houston","Win",33,16,"Away","Wk 2",17
"31","New England","Seattle","Loss",30,35,"Home","Wk 2",-5
"32","New Orleans","Las Vegas","Loss",24,34,"Home","Wk 2",-10
"33","Miami","Jacksonville","Win",31,13,"Away","Wk 3",18
"34","Chicago","Atlanta","Win",30,26,"Away","Wk 3",4
