"","Team","off_pass_CMP","off_pass_ATT","off_pass_CMP_prc","off_pass_AVG","off_pass_YDS_pr_G","off_pass_TD","off_pass_INT","off_pass_SACK","off_pass_RTG","off_rush_ATT","off_rush_AVG","off_rush_YDS_pr_G","off_rush_TD","off_rush_FUM","off_Turnovers","def_pass_CMP","def_pass_ATT","def_pass_CMP_prc","def_pass_AVG","def_pass_YDS_pr_G","def_pass_TD","def_pass_INT","def_pass_SACK","def_pass_RTG","def_rush_ATT","def_rush_AVG","def_rush_YDS_pr_G","def_rush_TD","def_rush_FUM","def_Turnovers"
"1","Kansas City",26.64,39.5,67.5,8.2,311.4,2.57,0.36,1.64,110.2,26.07,4.5,116.5,0.86,0.07,0.1,21.43,35.07,61.1,6.9,230.1,1.71,1.14,1.79,84.3,26.79,4.6,123.5,0.86,0.07,0.15
"2","Buffalo",25.43,37,68.7,7.8,278.5,2.29,0.64,1.86,105.3,25.36,4.3,108.2,0.93,0.36,0.41,23.14,35.21,65.7,7,234.7,1.57,0.86,2.43,91,26.43,4.6,121.4,1.29,0.14,0.2
"3","Houston",23.57,33.79,69.8,8.7,275.4,1.93,0.43,3.21,110.4,22.14,3.9,86,0.57,0.29,0.32,23.57,34,69.3,7.9,252.1,1.93,0.21,2.29,108.9,29.93,5,150.5,1.29,0.14,0.15
"4","Atlanta",25.14,39.21,64.1,7.4,273.4,1.64,0.79,2.57,91.9,25.71,3.7,93.9,0.86,0.14,0.2,26.79,38.5,69.6,7.9,287.7,2,0.64,2,103.2,24.07,4.4,104.7,1,0.21,0.26
"5","Los Angeles Chargers",26.43,40.21,65.7,7.1,272.9,1.93,0.71,2.07,95,29.36,3.8,111.4,0.71,0.14,0.19,20.93,33.14,63.1,7,221.3,1.93,0.71,1.71,94.2,27.29,4.5,123.8,1.07,0.21,0.26
"6","Tampa Bay",25.21,38.79,65,7.2,268.4,2.29,0.79,1.36,97.3,22.93,4.1,93.9,1,0.07,0.13,26.86,38.71,69.4,7.2,255.3,1.93,1,3.07,95.7,22.64,3.4,77.8,0.64,0.07,0.14
"7","Detroit",23.79,37.14,64,7.6,264.5,1.71,0.79,2.64,93.7,23.57,3.9,92.6,1.07,0.29,0.35,23.14,33.93,68.2,8.1,264.1,2.07,0.5,1.36,107,30.71,4.5,137.3,1.71,0.07,0.11
"8","Green Bay",23.71,34.07,69.6,8,261.1,2.86,0.29,1.36,118,27.64,4.7,128.9,0.93,0.07,0.09,21.57,33.43,64.5,7.3,227.6,1.57,0.57,2.71,94.9,24.21,4.5,110.1,1,0.14,0.18
"9","Indianapolis",23.79,35.07,67.8,7.6,260.8,1.57,0.64,1.14,97.7,28.14,4.1,114,1.14,0.07,0.12,22.07,33.64,65.6,7.5,236,1.36,1.07,2.36,88.1,25.64,3.8,98.1,1.07,0.21,0.29
"10","San Francisco",23.79,36.5,65.2,7.6,258.6,1.5,1.21,2.36,87.7,27.36,4.1,112.6,1.29,0.21,0.3,20.71,32.21,64.3,6.9,209.9,1.64,0.79,1.79,91.1,26.86,3.9,104.4,0.71,0.29,0.35
